CensusPlaceCode,ST,STName,County,PlaceNameLong,PlaceNameShort,CensusPlaceName,,,,,,,,,
1902785710,IA,Iowa,Carroll,City of Willey,Willey,Willey city,,,,,,,,,
1902799990,IA,Iowa,Carroll,Balance of Carroll County,Unincorporated Carroll County,Balance of Carroll County,,,,,,,,,
1902900000,IA,Iowa,Cass,Cass County,Cass County,Cass County,,,,,,,,,
1902902260,IA,Iowa,Cass,City of Anita,Anita,Anita city,,,,,,,,,
1902903520,IA,Iowa,Cass,City of Atlantic,Atlantic,Atlantic city,,,,,,,,,
1902917760,IA,Iowa,Cass,City of Cumberland,Cumberland,Cumberland city,,,,,,,,,
1902933150,IA,Iowa,Cass,City of Griswold,Griswold,Griswold city,,,,,,,,,
1902944805,IA,Iowa,Cass,City of Lewis,Lewis,Lewis city,,,,,,,,,
1902949575,IA,Iowa,Cass,City of Marne,Marne,Marne city,,,,,,,,,
1902950250,IA,Iowa,Cass,City of Massena,Massena,Massena city,,,,,,,,,
1902986610,IA,Iowa,Cass,City of Wiota,Wiota,Wiota city,,,,,,,,,
1902999990,IA,Iowa,Cass,Balance of Cass County,Unincorporated Cass County,Balance of Cass County,,,,,,,,,
1903100000,IA,Iowa,Cedar,Cedar County,Cedar County,Cedar County,,,,,,,,,
1903105770,IA,Iowa,Cedar,City of Bennett,Bennett,Bennett city,,,,,,,,,
1903113530,IA,Iowa,Cedar,City of Clarence,Clarence,Clarence city,,,,,,,,,
1903122980,IA,Iowa,Cedar,City of Durant - Cedar County Portion,Durant [Cedar Co],Durant city (pt.),,,,,,,,,
1903146920,IA,Iowa,Cedar,City of Lowden,Lowden,Lowden city,,,,,,,,,
1903150700,IA,Iowa,Cedar,City of Mechanicsville,Mechanicsville,Mechanicsville city,,,,,,,,,
1903175045,IA,Iowa,Cedar,City of Stanwood,Stanwood,Stanwood city,,,,,,,,,
1903178285,IA,Iowa,Cedar,City of Tipton,Tipton,Tipton city,,,,,,,,,
1903183595,IA,Iowa,Cedar,City of West Branch - Cedar County Portion,West Branch [Cedar Co],West Branch city (pt.),,,,,,,,,
1903186070,IA,Iowa,Cedar,City of Wilton - Cedar County Portion,Wilton [Cedar Co],Wilton city (pt.),,,,,,,,,
1903199990,IA,Iowa,Cedar,Balance of Cedar County,Unincorporated Cedar County,Balance of Cedar County,,,,,,,,,
1903300000,IA,Iowa,Cerro Gordo,Cerro Gordo County,Cerro Gordo County,Cerro Gordo County,,,,,,,,,
